TransDate,Duckegg_TNN_TaijinPrice
2020-12-31,32.0
2020-12-30,32.0
2020-12-29,32.0
2020-12-28,32.0
2020-12-27,32.0
2020-12-26,32.0
2020-12-25,32.0
2020-12-24,32.0
2020-12-23,32.0
2020-12-22,32.0
2020-12-21,32.0
2020-12-20,32.0
2020-12-19,32.0
2020-12-18,32.0
2020-12-17,32.0
2020-12-16,32.0
2020-12-15,32.0
2020-12-14,32.0
2020-12-13,32.0
2020-12-12,32.0
2020-12-11,32.0
2020-12-10,32.0
2020-12-09,32.0
2020-12-08,32.0
2020-12-07,32.0
2020-12-06,32.0
2020-12-05,32.0
2020-12-04,32.0
2020-12-03,32.0
2020-12-02,32.0
2020-12-01,32.0
2020-11-30,32.0
2020-11-29,32.0
2020-11-28,32.0
2020-11-27,32.0
2020-11-26,32.0
2020-11-25,32.0
2020-11-24,32.0
2020-11-23,32.0
2020-11-22,32.0
2020-11-21,32.0
2020-11-20,32.0
2020-11-19,32.0
2020-11-18,32.0
2020-11-17,32.0
2020-11-16,32.0
2020-11-15,32.0
2020-11-14,32.0
2020-11-13,32.0
2020-11-12,32.0
2020-11-11,32.0
2020-11-10,32.0
2020-11-09,32.0
2020-11-08,32.0
2020-11-07,32.0
2020-11-06,32.0
2020-11-05,32.0
2020-11-04,32.0
2020-11-03,32.0
2020-11-02,32.0
2020-11-01,32.0
2020-10-31,32.0
2020-10-30,32.0
2020-10-29,32.0
2020-10-28,32.0
2020-10-27,32.0
2020-10-26,32.0
2020-10-25,32.0
2020-10-24,32.0
2020-10-23,32.0
2020-10-22,32.0
2020-10-21,32.0
2020-10-20,32.0
2020-10-19,32.0
2020-10-18,32.0
2020-10-17,32.0
2020-10-16,32.0
2020-10-15,32.0
2020-10-14,32.0
2020-10-13,32.0
2020-10-12,32.0
2020-10-11,32.0
2020-10-10,32.0
2020-10-09,32.0
2020-10-08,32.0
2020-10-07,32.0
2020-10-06,32.0
2020-10-05,32.0
2020-10-04,32.0
2020-10-03,32.0
2020-10-02,32.0
2020-10-01,32.0
2020-09-30,32.0
2020-09-29,32.0
2020-09-28,32.0
2020-09-27,32.0
2020-09-26,32.0
2020-09-25,32.0
2020-09-24,32.0
2020-09-23,32.0
2020-09-22,32.0
2020-09-21,32.0
2020-09-20,32.0
2020-09-19,32.0
2020-09-18,32.0
2020-09-17,32.0
2020-09-16,32.0
2020-09-15,32.0
2020-09-14,32.0
2020-09-13,32.0
2020-09-12,34.0
2020-09-11,34.0
2020-09-10,34.0
2020-09-09,34.0
2020-09-08,34.0
2020-09-07,34.0
2020-09-06,34.0
2020-09-05,34.0
2020-09-04,34.0
2020-09-03,34.0
2020-09-02,34.0
2020-09-01,34.0
2020-08-31,34.0
2020-08-30,34.0
2020-08-29,34.0
2020-08-28,34.0
2020-08-27,34.0
2020-08-26,34.0
2020-08-25,34.0
2020-08-24,34.0
2020-08-23,34.0
2020-08-22,34.0
2020-08-21,34.0
2020-08-20,34.0
2020-08-19,34.0
2020-08-18,34.0
2020-08-17,34.0
2020-08-16,34.0
2020-08-15,34.0
2020-08-14,34.0
2020-08-13,34.0
2020-08-12,34.0
2020-08-11,34.0
2020-08-10,34.0
2020-08-09,32.0
2020-08-08,32.0
2020-08-07,32.0
2020-08-06,32.0
2020-08-05,32.0
2020-08-04,32.0
2020-08-03,32.0
2020-08-02,32.0
2020-08-01,32.0
2020-07-31,32.0
2020-07-30,32.0
2020-07-29,32.0
2020-07-28,32.0
2020-07-27,32.0
2020-07-26,32.0
2020-07-25,32.0
2020-07-24,32.0
2020-07-23,32.0
2020-07-22,32.0
2020-07-21,32.0
2020-07-20,32.0
2020-07-19,32.0
2020-07-18,32.0
2020-07-17,32.0
2020-07-16,32.0
2020-07-15,32.0
2020-07-14,32.0
2020-07-13,32.0
2020-07-12,32.0
2020-07-11,32.0
2020-07-10,32.0
2020-07-09,32.0
2020-07-08,32.0
2020-07-07,32.0
2020-07-06,32.0
2020-07-05,32.0
2020-07-04,32.0
2020-07-03,32.0
2020-07-02,32.0
2020-07-01,32.0
2020-06-30,32.0
2020-06-29,32.0
2020-06-28,32.0
2020-06-27,32.0
2020-06-26,32.0
2020-06-25,32.0
2020-06-24,32.0
2020-06-23,32.0
2020-06-22,32.0
2020-06-21,32.0
2020-06-20,32.0
2020-06-19,32.0
2020-06-18,32.0
2020-06-17,32.0
2020-06-16,32.0
2020-06-15,32.0
2020-06-14,32.0
2020-06-13,32.0
2020-06-12,32.0
2020-06-11,32.0
2020-06-10,32.0
2020-06-09,32.0
2020-06-08,32.0
2020-06-07,32.0
2020-06-06,32.0
2020-06-05,32.0
2020-06-04,32.0
2020-06-03,32.0
2020-06-02,32.0
2020-06-01,32.0
2020-05-31,32.0
2020-05-30,32.0
2020-05-29,32.0
2020-05-28,32.0
2020-05-27,32.0
2020-05-26,32.0
2020-05-25,32.0
2020-05-24,32.0
2020-05-23,32.0
2020-05-22,32.0
2020-05-21,32.0
2020-05-20,32.0
2020-05-19,32.0
2020-05-18,32.0
2020-05-17,32.0
2020-05-16,32.0
2020-05-15,32.0
2020-05-14,32.0
2020-05-13,32.0
2020-05-12,32.0
2020-05-11,32.0
2020-05-10,30.0
2020-05-09,30.0
2020-05-08,30.0
2020-05-07,30.0
2020-05-06,30.0
2020-05-05,30.0
2020-05-04,30.0
2020-05-03,30.0
2020-05-02,30.0
2020-05-01,30.0
2020-04-30,30.0
2020-04-29,30.0
2020-04-28,30.0
2020-04-27,30.0
2020-04-26,30.0
2020-04-25,30.0
2020-04-24,30.0
2020-04-23,30.0
2020-04-22,30.0
2020-04-21,30.0
2020-04-20,30.0
2020-04-19,30.0
2020-04-18,30.0
2020-04-17,30.0
2020-04-16,30.0
2020-04-15,30.0
2020-04-14,30.0
2020-04-13,30.0
2020-04-12,30.0
2020-04-11,30.0
2020-04-10,30.0
2020-04-09,30.0
2020-04-08,30.0
2020-04-07,30.0
2020-04-06,30.0
2020-04-05,30.0
2020-04-04,30.0
2020-04-03,30.0
2020-04-02,30.0
2020-04-01,30.0
2020-03-31,30.0
2020-03-30,30.0
2020-03-29,30.0
2020-03-28,30.0
2020-03-27,30.0
2020-03-26,30.0
2020-03-25,30.0
2020-03-24,30.0
2020-03-23,30.0
2020-03-22,30.0
2020-03-21,30.0
2020-03-20,30.0
2020-03-19,30.0
2020-03-18,32.0
2020-03-17,32.0
2020-03-16,32.0
2020-03-15,32.0
2020-03-14,32.0
2020-03-13,32.0
2020-03-12,32.0
2020-03-11,32.0
2020-03-10,32.0
2020-03-09,32.0
2020-03-08,32.0
2020-03-07,32.0
2020-03-06,32.0
2020-03-05,32.0
2020-03-04,32.0
2020-03-03,32.0
2020-03-02,32.0
2020-03-01,32.0
2020-02-29,32.0
2020-02-28,32.0
2020-02-27,32.0
2020-02-26,32.0
2020-02-25,32.0
2020-02-24,32.0
2020-02-23,32.0
2020-02-22,32.0
2020-02-21,32.0
2020-02-20,32.0
2020-02-19,32.0
2020-02-18,32.0
2020-02-17,32.0
2020-02-16,32.0
2020-02-15,32.0
2020-02-14,32.0
2020-02-13,32.0
2020-02-12,32.0
2020-02-11,32.0
2020-02-10,32.0
2020-02-09,32.0
2020-02-08,32.0
2020-02-07,32.0
2020-02-06,32.0
2020-02-05,32.0
2020-02-04,32.0
2020-02-03,32.0
2020-02-02,34.0
2020-02-01,34.0
2020-01-31,32.0
2020-01-30,32.0
2020-01-29,32.0
2020-01-28,32.0
2020-01-27,32.0
2020-01-26,32.0
2020-01-25,32.0
2020-01-24,32.0
2020-01-23,32.0
2020-01-22,32.0
2020-01-21,32.0
2020-01-20,32.0
2020-01-19,32.0
2020-01-18,32.0
2020-01-17,32.0
2020-01-16,32.0
2020-01-15,32.0
2020-01-14,32.0
2020-01-13,34.0
2020-01-12,34.0
2020-01-11,34.0
2020-01-10,34.0
2020-01-09,34.0
2020-01-08,34.0
2020-01-07,34.0
2020-01-06,34.0
2020-01-05,34.0
2020-01-04,34.0
2020-01-03,34.0
2020-01-02,34.0
2020-01-01,34
